medcodeid	snomedctconceptid	term	ethnic_20grp	ethnic_6grp	F	G	Updatedaccordingtothe2021ce	I
1968181000006113	976891000000104	Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens	6	2				
1968191000006111	976911000000101	Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011	7	2				
1968201000006114	976931000000109	Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens	8	2				
1968251000006113	977371000000109	Irish Traveller - Northern Ireland ethnic cat 2011 census	15	4				
1968351000006119	977791000000109	Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census	6	2				
1968361000006117	977811000000105	Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens	7	2				
1968371000006112	977831000000102	Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census	8	2				
1968481000006118	978071000000106	Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011	4	1				
1968491000006115	978111000000100	Asian: Indian, Indian Scot/Indian Brit- Scotland 2011 census	3	1				
1968501000006111	978171000000105	Bangladeshi, Bangladeshi Scot or Bangladeshi Brit- Scot 2011	1	1				
1968531000006115	978231000000100	African: African/African Scot/African Brit - Scotland 2011	6	2				
1968551000006110	978271000000103	Carib/Black: Caribbean/Carib Scot/Carib Brit- Scotland 2011	7	2				
1968561000006112	978341000000102	Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens	7	2				
1968571000006117	978361000000101	Carib/Black: any other Black/Caribbean grp - Scotland 2011	7	2				
3614451000006110	68486007	Austrians	17	4				
1564231000006118	1564231000006102	Armenian	17	4				
1564331000006114	1564331000006105	Belgian	17	4				
1564471000006116	1564471000006100	Canadian	17	4				
2722611000006114	14045001	Caucasian	13	4				
6846371000006111	413773004	Caucasian	13	4				
8406531000006110	1024701000000100	Ethnicity not stated	20	6				
1564781000006114	1564781000006105	Georgian	17	4				
1564791000006112	1564791000006108	German	17	4				
1564811000006111	1564811000006107	Greek	17	4				
2521561000006117	1451003	Greeks	17	5				
1564901000006119	1564901000006103	Hungarian	17	4				
2615531000000117	718963003	Hungarian Roma	16	4				
3552211000006118	64693008	Hungarian	17	4				
1564911000006116	1564911000006100	Icelander	17	4				
1564981000006111	1564981000006107	Italian	17	4				
3009521000006110	31637002	Italians	17	4				
2958771000006116	28562006	Poles	17	4				
1565541000006112	1565541000006108	Russian	17	4				
3885061000006111	85163001	Russians	17	4				
1565631000006115	1565631000006104	Serb	17	4				
2956271000006111	28409002	Spaniards	17	4				
7953251000006110	733078003	Ukrainian	17	4				
2737641000006113	14999008	Welsh	13	4				
								
								
								
								
								
								
								
								
								
								
