medcodeid	desc	readcode	coding_system	cancertype	blood_cancertype	ca_of_interest	recurrent_ca	secondary_ca	history_ca	gold_stage_grade
106924	Clinical stage B chronic lymphocytic leukaemia	B641200	GOLD	haematological	leukaemia	1				1
10716leukaemia	Clinical stage C chronic lymphocytic leukaemia	B641leukaemia00	GOLD	haematological	leukaemia	1				1
72774	Subacute lymphoid leukaemia	B642.00	GOLD	haematological	leukaemia	1				
49725	Other lymphoid leukaemia	B64y.00	GOLD	haematological	leukaemia	1				
leukaemia1586	Prolymphocytic leukaemia	B64y100	GOLD	haematological	leukaemia	1				
leukaemia7461	Adult T-cell leukaemia	B64y200	GOLD	haematological	leukaemia	1				
108656	B-cell prolymphocytic leukaemia	B64yleukaemia00	GOLD	haematological	leukaemia	1				
10764leukaemia	T-cell prolymphocytic leukaemia	B64y400	GOLD	haematological	leukaemia	1				
111627	Prolymphocytic leukaemia of T-cell type	B64y411	GOLD	haematological	leukaemia	1				
1049leukaemia9	Adult T-cell lymphoma/leukaemia (HTLV-1-associated)	B64y500	GOLD	haematological	leukaemia	1				
leukaemia8leukaemialeukaemia1	Other lymphoid leukaemia NOS	B64yz00	GOLD	haematological	leukaemia	1				
leukaemia8914	Lymphoid leukaemia NOS	B64z.00	GOLD	haematological	leukaemia	1				
7176	Myeloid leukaemia	B65..00	GOLD	haematological	leukaemia	1				
441leukaemia	Acute myeloid leukaemia	B650.00	GOLD	haematological	leukaemia	1				
10726	Chronic myeloid leukaemia	B651.00	GOLD	haematological	leukaemia	1				
leukaemia1701	Chronic granulocytic leukaemia	B651.11	GOLD	haematological	leukaemia	1				
100786	Chronic eosinophilic leukaemia	B651000	GOLD	haematological	leukaemia	1				
105957	Chronic myeloid leukaemia, BCR/ABL positive	B651100	GOLD	haematological	leukaemia	1				
10278leukaemia	Chronic neutrophilic leukaemia	B651200	GOLD	haematological	leukaemia	1				
1072leukaemia6	Atypical chronic myeloid leukaemia, BCR/ABL negative	B651leukaemia00	GOLD	haematological	leukaemia	1				
27520	Chronic myeloid leukaemia NOS	B651z00	GOLD	haematological	leukaemia	1				
6leukaemia475	Subacute myeloid leukaemia	B652.00	GOLD	haematological	leukaemia	1				
104788	Acute myeloblastic leukaemia	B654.00	GOLD	haematological	leukaemia	1				
27664	Acute promyelocytic leukaemia	B65y100	GOLD	haematological	leukaemia	1				
66089	Other myeloid leukaemia NOS	B65yz00	GOLD	haematological	leukaemia	1				
leukaemialeukaemialeukaemia44	Myeloid leukaemia NOS	B65z.00	GOLD	haematological	leukaemia	1				
leukaemia5875	Monocytic leukaemia	B66..00	GOLD	haematological	leukaemia	1				
108715	Histiocytic leukaemia	B66..11	GOLD	haematological	leukaemia	1				
67700	Monoblastic leukaemia	B66..12	GOLD	haematological	leukaemia	1				
19974	Acute monocytic leukaemia	B660.00	GOLD	haematological	leukaemia	1				
27458	Chronic monocytic leukaemia	B661.00	GOLD	haematological	leukaemia	1				
101606	Subacute monocytic leukaemia	B662.00	GOLD	haematological	leukaemia	1				
108424	Acute monoblastic leukaemia	B66leukaemia.00	GOLD	haematological	leukaemia	1				
99015	Other monocytic leukaemia	B66y.00	GOLD	haematological	leukaemia	1				
10leukaemia645	Other monocytic leukaemia NOS	B66yz00	GOLD	haematological	leukaemia	1				
9leukaemialeukaemia42	Monocytic leukaemia NOS	B66z.00	GOLD	haematological	leukaemia	1				
leukaemia7272	Other specified leukaemia	B67..00	GOLD	haematological	leukaemia	1				
425leukaemia9	Acute erythraemia and erythroleukaemia	B670.00	GOLD	haematological	leukaemia	1				
57671	Megakaryocytic leukaemia	B672.00	GOLD	haematological	leukaemia	1				
65777	Thrombocytic leukaemia	B672.11	GOLD	haematological	leukaemia	1				
65721	Mast cell leukaemia	B67leukaemia.00	GOLD	haematological	leukaemia	1				
1108leukaemia8	Acute erythroid leukaemia	B676.00	GOLD	haematological	leukaemia	1				
94174	Other and unspecified leukaemia	B67y.00	GOLD	haematological	leukaemia	1				
72197	Lymphosarcoma cell leukaemia	B67y000	GOLD	haematological	leukaemia	1				
9941leukaemia	Other and unspecified leukaemia NOS	B67yz00	GOLD	haematological	leukaemia	1				
leukaemia06leukaemia2	Other specified leukaemia NOS	B67z.00	GOLD	haematological	leukaemia	1				
25191	Leukaemia of unspecified cell type	B68..00	GOLD	haematological	leukaemia	1				
4072	Acute leukaemia NOS	B680.00	GOLD	haematological	leukaemia	1				
16416	Chronic leukaemia NOS	B681.00	GOLD	haematological	leukaemia	1				
5479leukaemia	Subacute leukaemia NOS	B682.00	GOLD	haematological	leukaemia	1				
leukaemia4692	Other leukaemia of unspecified cell type	B68y.00	GOLD	haematological	leukaemia	1				
4250	Leukaemia NOS	B68z.00	GOLD	haematological	leukaemia	1				
20440	Myelomonocytic leukaemia	B69..00	GOLD	haematological	leukaemia	1				
61500	Acute myelomonocytic leukaemia	B690.00	GOLD	haematological	leukaemia	1				
22050	Chronic myelomonocytic leukaemia	B691.00	GOLD	haematological	leukaemia	1				
104475	Subacute myelomonocytic leukaemia	B692.00	GOLD	haematological	leukaemia	1				
105069	Juvenile myelomonocytic leukaemia	B69leukaemia.00	GOLD	haematological	leukaemia	1				
46leukaemia7	[M]Leukaemias	BBr..00	GOLD	haematological	leukaemia	1				
40420	[M]Leukaemias unspecified	BBr0.00	GOLD	haematological	leukaemia	1				
417leukaemia4	[M]Leukaemia NOS	BBr0000	GOLD	haematological	leukaemia	1				
6leukaemia16	[M]Acute leukaemia NOS	BBr0100	GOLD	haematological	leukaemia	1				
22071	[M]Blast cell leukaemia	BBr0111	GOLD	haematological	leukaemia	1				
6496leukaemia	[M]Blastic leukaemia	BBr0112	GOLD	haematological	leukaemia	1				
6leukaemia570	[M]Stem cell leukaemia	BBr011leukaemia	GOLD	haematological	leukaemia	1				
72179	[M]Subacute leukaemia NOS	BBr0200	GOLD	haematological	leukaemia	1				
leukaemia1750	[M]Chronic leukaemia NOS	BBr0leukaemia00	GOLD	haematological	leukaemia	1				
72leukaemia10	[M]Aleukaemic leukaemia NOS	BBr0400	GOLD	haematological	leukaemia	1				
59929	[M]Leukaemia unspecified, NOS	BBr0z00	GOLD	haematological	leukaemia	1				
48155	[M]Lymphoid leukaemias	BBr2.00	GOLD	haematological	leukaemia	1				
12146	[M]Lymphoid leukaemia NOS	BBr2000	GOLD	haematological	leukaemia	1				
206leukaemia5	[M]Lymphatic leukaemia	BBr2011	GOLD	haematological	leukaemia	1				
leukaemia7410	[M]Acute lymphoid leukaemia	BBr2100	GOLD	haematological	leukaemia	1				
41500	[M]Chronic lymphoid leukaemia	BBr2leukaemia00	GOLD	haematological	leukaemia	1				
46048	[M]Prolymphocytic leukaemia	BBr2500	GOLD	haematological	leukaemia	1				
50928	[M]Burkitt's cell leukaemia	BBr2600	GOLD	haematological	leukaemia	1				
29leukaemialeukaemia5	[M]Adult T-cell leukaemia/lymphoma	BBr2700	GOLD	haematological	leukaemia	1				
64618	[M]Plasma cell leukaemias	BBrleukaemia.00	GOLD	haematological	leukaemia	1				
110leukaemia49	[M]Plasma cell leukaemia NOS	BBrleukaemiaz00	GOLD	haematological	leukaemia	1				
46444	[M]Erythroleukaemias	BBr4.00	GOLD	haematological	leukaemia	1				
709leukaemia5	[M]Erythroleukaemia	BBr4000	GOLD	haematological	leukaemia	1				
100927	[M]Erythroleukaemia NOS	BBr4z00	GOLD	haematological	leukaemia	1				
leukaemia5697	[M]Myeloid leukaemias	BBr6.00	GOLD	haematological	leukaemia	1				
71850	[M]Myeloid leukaemia NOS	BBr6000	GOLD	haematological	leukaemia	1				
leukaemia772leukaemia	[M]Granulocytic leukaemia NOS	BBr6011	GOLD	haematological	leukaemia	1				
54585	[M]Acute myeloid leukaemia	BBr6100	GOLD	haematological	leukaemia	1				
10648leukaemia	[M]Subacute myeloid leukaemia	BBr6200	GOLD	haematological	leukaemia	1				
52942	[M]Chronic myeloid leukaemia	BBr6leukaemia00	GOLD	haematological	leukaemia	1				
66694	[M]Naegeli-type monocytic leukaemia	BBr6leukaemia11	GOLD	haematological	leukaemia	1				
57leukaemia16	[M]Acute promyelocytic leukaemia	BBr6600	GOLD	haematological	leukaemia	1				
4626leukaemia	[M]Acute myelomonocytic leukaemia	BBr6700	GOLD	haematological	leukaemia	1				
48049	[M]Chronic myelomonocytic leukaemia	BBr6800	GOLD	haematological	leukaemia	1				
108964	[M]Juvenile myelomonocytic leukaemia	BBr6900	GOLD	haematological	leukaemia	1				
62leukaemialeukaemia0	[M]Other myeloid leukaemia NOS	BBr6z00	GOLD	haematological	leukaemia	1				
106197	[M]Basophilic leukaemia	BBr7000	GOLD	haematological	leukaemia	1				
5771leukaemia	[M]Eosinophilic leukaemias	BBr8.00	GOLD	haematological	leukaemia	1				
71leukaemia77	[M]Eosinophilic leukaemia	BBr8000	GOLD	haematological	leukaemia	1				
10777leukaemia	[M]Eosinophilic leukaemia NOS	BBr8z00	GOLD	haematological	leukaemia	1				
7leukaemia088	[M]Monocytic leukaemia NOS	BBr9000	GOLD	haematological	leukaemia	1				
7leukaemia066	[M]Miscellaneous leukaemias	BBrA.00	GOLD	haematological	leukaemia	1				
72222	[M]Megakaryocytic leukaemia	BBrA100	GOLD	haematological	leukaemia	1				
69299	[M]Thrombocytic leukaemia	BBrA111	GOLD	haematological	leukaemia	1				
5915	[M]Hairy cell leukaemia	BBrA400	GOLD	haematological	leukaemia	1				
49leukaemia27	[M]Acute megakaryoblastic leukaemia	BBrA500	GOLD	haematological	leukaemia	1				
108leukaemia16	[M]Miscellaneous leukaemia NOS	BBrAz00	GOLD	haematological	leukaemia	1				
42297	[M]Leukaemia NOS	BBrz.00	GOLD	haematological	leukaemia	1				
67029	[X]Other lymphoid leukaemia	ByuD500	GOLD	haematological	leukaemia	1				
6169leukaemia	[X]Other myeloid leukaemia	ByuD600	GOLD	haematological	leukaemia	1				
89762	[X]Other monocytic leukaemia	ByuD700	GOLD	haematological	leukaemia	1				
89leukaemia29	[X]Other specified leukaemias	ByuD800	GOLD	haematological	leukaemia	1				
65165	[X]Other leukaemia of unspecified cell type	ByuD900	GOLD	haematological	leukaemia	1				
leukaemia669leukaemia	[V]Personal history of leukaemia	ZV10600	GOLD	haematological	leukaemia	1			1	
94597	[V]Personal history of lymphoid leukaemia	ZV10611	GOLD	haematological	leukaemia	1			1	
110058	[V]Personal history of myeloid leukaemia	ZV1061leukaemia	GOLD	haematological	leukaemia	1			1	
5leukaemia477	[V]Follow-up examination after chemotherapy for leukaemia	ZV67811	GOLD	haematological	leukaemia	1				
